FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0003317	FBgn0025008	FBrf0102634	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0102634.html	sax	E(tkv)D2	gg	
FBgn0003339	FBgn0003862	FBrf0080053	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0080053.html	Scr	trx	gg	
FBgn0004569	FBgn0260400	FBrf0089814	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0089814.html	aos	elav	gg	
FBgn0000711	FBgn0243512	FBrf0200380	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0200380.html	flw	puc	gg	
FBgn0003507	FBgn0003963	"FBrf0090577, FBrf0167995"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0090577.html, http://flybase.net/reports/FBrf0167995.html"	srp	ush	gg	
FBgn0000346	FBgn0263111	"FBrf0127054, FBrf0106406, FBrf0152028"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0127054.html, http://flybase.net/reports/FBrf0106406.html, http://flybase.net/reports/FBrf0152028.html"	comt	cac	gg	
FBgn0004449	FBgn0004956	FBrf0190752	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190752.html	Ten-m	upd1	gg	
FBgn0005558	FBgn0267825	FBrf0187660	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187660.html	ey	L	gg	
FBgn0001075	FBgn0003391	FBrf0123026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0123026.html	ft	shg	gg	
FBgn0004868	FBgn0061511	FBrf0146410	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0146410.html	Gdi	fs(2)AL289	gg	
FBgn0010382	FBgn0082628	FBrf0180291	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180291.html	CycE	S(CycE<up>JP</up>)20S1	gg	
FBgn0039338	FBgn0039350	FBrf0194564	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194564.html	XNP	jigr1	gg	
FBgn0000212	FBgn0013263	FBrf0129826	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0129826.html	brm	Trl	gg	
FBgn0002576	FBgn0023218	FBrf0090589	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0090589.html	lz	E(lz)205	gg	
FBgn0003041	FBgn0086899	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	pbl	Tlk	gg	
FBgn0004647	FBgn0037218	FBrf0193261	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0193261.html	N	aux	gg	
