Symbol,int
tkv,1
tkv,1
tkv,6
tkv,2
tkv,7
tkv,1
tkv,2
tkv,2
tkv,3
tkv,1
tkv,2
tkv,2
tkv,5
tkv,3
tkv,1
tkv,1
tkv,2
tkv,4
tkv,1
tkv,3
tkv,1
tkv,2
tkv,4
tkv,4
tkv,1
tkv,3
tkv,1
tkv,1
tkv,3
tkv,1
tkv,1
tkv,1
tkv,2
tkv,22
tkv,11
tkv,1
tkv,1
tko,1
tipE,8
tio,1
tin::Mmus\Nkx2-5,2
tin,20
tin,3
tin,1
tin,6
tin,1
tin,1
Timp,1
Timp,4
Tim10,5
tim,8
Tig,2
ths,3
thr,1
thr,1
thr,1
Thor,10
Thor,1
Thor,3
Thiolase,9
thick,4
tgo,4
tgo,1
tgo,2
tgo,1
tgo,1
tgo,2
TfIIA-S,1
TfIIA-S,3
TfIIA-S,2
TfIIA-S,1
TfIIA-S,1
TfIIA-S,3
TfAP-2,1
Ten-m,1
telegraph,4
tefu,2
tefu,5
tefu,1
tefu,2
tefu,3
tefu,5
tefu,1
Tdc2,3
Tdc2,12
Tdc2,2
Tdc1,1
Tctp,1
Tctp,2
Tctp,3
Tcr,1
Tcp-1??,2
Tcp-1??,3
Tbp,2
tau,2
tau,1
tara,4
tara,1
tara,2
tara,1
tara,1
tara,2
tara,2
Tao,1
Tao,1
Tao,1
Tango10,4
Tak1,3
Tak1,5
Tak1,1
Tak1,1
Tak1,1
Tak1,2
Tak1,14
Tak1,37
Tak1,3
tai,47
tai,8
tai,2
Taf8,55
Taf6,1
Taf6,24
Taf6,2
Taf6,6
Taf4,1
Taf4,3
Taf4,1
Taf4,5
Taf4,3
Taf1,3
Taf1,19
Taf1,2
Taf1,2
Tab2,1
ta,1
Syx7,5
Syx5,1
Syx1A,3
Syx1A,2
Syx1A,1
Syx1A,2
Syx1A,3
Syx1A,2
Syx1A,1
Syx1A,3
Syx1A,31
Syx1A,1
Syx1A,1
Syx1A,5
Syx1A,1
Syx1A,1
Syx1A,3
Syx1A,2
Syx1A,6
Syx1A,8
Syx1A,11
Syx1A,5
Syx1A,4
Syx1A,4
Syx1A,3
Syx16,1
Syx13,1
Syt4,1
Syt1,8
Syt1,1
Syt1,2
Syt1,1
Synj,10
Syn2,4
Syb,3
SY2-2,1
SY2-2,2
SY2-2,5
Sxl,2
Sxl,5
Sxl,1
Sxl,4
Sxl,4
Sxl,2
Sxl,2
Sxl,1
Sxl,2
Sxl,1
Sxl,1
Sxl,2
Sxl,1
Sxl,1
Sxl,1
Sxl,1
Sxl,1
Sxl,1
Sxl,6
Sxl,1
Sxl,1
Sxl,1
Sxl,1
Sxl,1
Sxl,7
Sxl,1
Sxl,4
Sxl,1
sxc,1
sxc,1
sxc,2
sxc,2
sxc,2
sxc,2
sxc,1
sxc,1
sx,11
swm,1
swm,1
swm,1
swm,1
swm,1
swm,1
swm,5
swm,8
Swg,1
Swg,3
Swg,1
swa,1
swa,4
sw,2
svr,1
svp,7
svp,1
svp,8
svp,5
svp,8
svp,1
svp,4
svp,2
svp,4
svp,1
svp,1
svp,7
svp,11
svp,1
svp,1
svp,4
svp,1
svp,6
svp,1
svp,2
sv,1
sv,1
sv,2
sv,6
sv,2
sv,2
sv,1
sv,3
sv,2
Sur-8,3
sub,1
sub,7
Su(z)7,1
Su(z)7,11
Su(z)7,3
Su(z)7,2
Su(z)6,4
Su(z)6,1
Su(z)6,1
Su(z)6,3
Su(z)4,1
Su(z)4,3
Su(z)4,2
Su(z)4,24
Su(z)2,1
Su(z)2,5
Su(z)2,2
Su(z)2,1
Su(z)2,4
Su(z)2,1
Su(z)2,4
Su(z)2,1
Su(z)2,1
Su(z)2,1
Su(z)2,9
Su(z)2,1
Su(z)2,3
Su(z)12,1
Su(z)12,7
Su(z)12,1
Su(z)12,5
Su(z)12,1
Su(z)12,2
Su(y)P31,2
Su(y)P22,3
Su(w<up>ch</up>),7
Su(w<up>a4</up>),1
su(w<up>a</up>),3
su(w<up>a</up>),2
Su(var)3-9,9
Su(var)3-9,1
Su(var)3-9,6
Su(var)3-7,1
Su(var)3-7,1
Su(var)2-10,1
Su(var)2-10,5
Su(var)2-10,2
Su(var)2-10,3
Su(var)2-1,4
Su(var)2-1,5
Su(var)2-1,9
Su(var)2-1,1
Su(var)208,1
Su(var)205,1
Su(var)205,9
Su(var)205,1
Su(var)205,20
Su(var)205,2
Su(var),1
Su(var),3
Su(var),1
Su(var),11
su(Ubx<up>bx-1</up>),1
Su(Tpl),7
Su(Tpl),1
Su(Tpl),5
Su(Tpl),1
Su(Tpl),3
Su(Tpl),2
Su(tor)3-91,1
Su(tor)3-8,1
Su(tor)3-344,1
Su(tor)3-337,5
Su(tor)3-333,2
Su(tor)3-307,6
Su(tor)3-293,1
Su(tor)3-168,13
Su(tor)3-1,1
Su(tor)3-1,2
Su(tor)2-93,2
Su(tor)2-87,4
Su(tor)278-22,1
Su(tor)2-68-20,5
Su(tor)2-56,1
Su(tor)2-48,4
Su(tor)2-408,2
Su(tor)2-408,1
Su(tor)2-4,5
Su(tor)2-399,1
Su(tor)2-341,1
Su(tor)2-321,12
Su(tor)2-321,1
Su(tor)2-321,1
Su(tor)2-3,12
Su(tor)2-3,3
Su(tor)2-280,3
Su(tor)2-278,5
Su(tor)2-278,3
Su(tor)2-237,2
Su(tor)2-237,1
Su(tor)2-191,1
Su(tor)2-187-3,1
Su(tor)2-187-1,1
Su(tor)2-180,1
Su(tor)2-180,1
Su(tor)2-164-14,3
Su(tor)2-15,1
Su(tor)2-113-31,6
Su(tor)2-113,1
Su(tor)1-163,1
Su(tor)1-106,3
Su(tor)1-1,3
Su(tor)1-1,3
Su(tkv*)3-3,4
Su(Sxl<up>fs</up>)X2,1
Su(Sxl<up>fs</up>)46,1
Su(SuRaf1)IV,1
Su(SuRaf1)IV,1
Su(SuRaf1)IV,1
Su(SuRaf1)A2-1,1
Su(SuRaf1)2,1
Su(SuRaf1)19-2,4
Su(SuRaf1)12,1
Su(SuRaf1)11,10
Su(SuRaf1)10,3
Su(SuRaf1)1,1
Su(stn),2
Su(stn),1
Su(spl),3
Su(Sd)4a-2,1
Su(Sd)2a-1,1
su(sc)r,1
su(sc)r,3
su(sable),1
su(sable),1
su(sable),1
su(sable),1
su(sable),1
Su(rst)J45,3
Su(rst)G67,2
Su(rst)E392,1
Su(rst)E358,1
Su(rst)E304,1
Su(rst)E290,1
Su(rst)E252,1
Su(rst)E218,1
Su(rst)E156,1
Su(rst)E124,4
Su(rst)E122,4
Su(rst)D63,4
Su(rst)D49,10
Su(rst)D231,1
Su(rst)D207,2
Su(rst)D124,1
Su(rst)D121,1
Su(rst)C94,2
Su(rst)C478,4
Su(rst)C451,2
Su(rst)C40,1
Su(rst)C379,3
Su(rst)C352,1
Su(rst)C233,8
Su(rst)C195,1
Su(rst)C134,1
Su(rst)C103,2
Su(rst)B52,1
